STATION,NAME,DATE,PRCP,TMAX
UKM00003772,"HEATHROW, UK",20/04/1991,0.1,47
UKM00003772,"HEATHROW, UK",21/04/1991,,52
UKM00003772,"HEATHROW, UK",22/04/1991,0.08,53
UKM00003772,"HEATHROW, UK",23/04/1991,,54
UKM00003772,"HEATHROW, UK",24/04/1991,,55
UKM00003772,"HEATHROW, UK",25/04/1991,,54
UKM00003772,"HEATHROW, UK",26/04/1991,0,
UKM00003772,"HEATHROW, UK",27/04/1991,0,
UKM00003772,"HEATHROW, UK",28/04/1991,0,58
UKM00003772,"HEATHROW, UK",29/04/1991,,
UKM00003772,"HEATHROW, UK",30/04/1991,0.94,48
UKM00003772,"HEATHROW, UK",01/05/1991,0.04,52
UKM00003772,"HEATHROW, UK",02/05/1991,,53
UKM00003772,"HEATHROW, UK",03/05/1991,0,53
UKM00003772,"HEATHROW, UK",04/05/1991,0.22,54
UKM00003772,"HEATHROW, UK",05/05/1991,0.04,51
UKM00003772,"HEATHROW, UK",06/05/1991,0,49
UKM00003772,"HEATHROW, UK",07/05/1991,0,53
UKM00003772,"HEATHROW, UK",08/05/1991,,
UKM00003772,"HEATHROW, UK",09/05/1991,,
UKM00003772,"HEATHROW, UK",10/05/1991,0,
UKM00003772,"HEATHROW, UK",11/05/1991,,60
UKM00003772,"HEATHROW, UK",12/05/1991,0,66
UKM00003772,"HEATHROW, UK",13/05/1991,0,69
UKM00003772,"HEATHROW, UK",14/05/1991,,61
UKM00003772,"HEATHROW, UK",15/05/1991,0,
UKM00003772,"HEATHROW, UK",16/05/1991,0.06,54
UKM00003772,"HEATHROW, UK",17/05/1991,0.1,
UKM00003772,"HEATHROW, UK",18/05/1991,0.02,56
UKM00003772,"HEATHROW, UK",19/05/1991,0,63
UKM00003772,"HEATHROW, UK",20/05/1991,0,
UKM00003772,"HEATHROW, UK",21/05/1991,0,76
UKM00003772,"HEATHROW, UK",22/05/1991,0,70
UKM00003772,"HEATHROW, UK",23/05/1991,0,65
UKM00003772,"HEATHROW, UK",24/05/1991,,65
UKM00003772,"HEATHROW, UK",25/05/1991,0,
UKM00003772,"HEATHROW, UK",26/05/1991,,
UKM00003772,"HEATHROW, UK",27/05/1991,,69
UKM00003772,"HEATHROW, UK",28/05/1991,0,54
UKM00003772,"HEATHROW, UK",29/05/1991,0,59
UKM00003772,"HEATHROW, UK",30/05/1991,0,61
UKM00003772,"HEATHROW, UK",31/05/1991,,
UKM00003772,"HEATHROW, UK",01/06/1991,,57
UKM00003772,"HEATHROW, UK",02/06/1991,,60
UKM00003772,"HEATHROW, UK",03/06/1991,0.08,58
UKM00003772,"HEATHROW, UK",04/06/1991,0.02,60
UKM00003772,"HEATHROW, UK",05/06/1991,0.04,61
UKM00003772,"HEATHROW, UK",06/06/1991,0.28,63
UKM00003772,"HEATHROW, UK",07/06/1991,,61
UKM00003772,"HEATHROW, UK",08/06/1991,0,61
UKM00003772,"HEATHROW, UK",09/06/1991,0.04,66
UKM00003772,"HEATHROW, UK",10/06/1991,0.12,
UKM00003772,"HEATHROW, UK",11/06/1991,,61
UKM00003772,"HEATHROW, UK",12/06/1991,0.08,68
UKM00003772,"HEATHROW, UK",13/06/1991,0.03,65
UKM00003772,"HEATHROW, UK",14/06/1991,,67
UKM00003772,"HEATHROW, UK",15/06/1991,0.51,62
UKM00003772,"HEATHROW, UK",16/06/1991,0.04,62
UKM00003772,"HEATHROW, UK",17/06/1991,0.02,60
UKM00003772,"HEATHROW, UK",18/06/1991,0.04,60
UKM00003772,"HEATHROW, UK",19/06/1991,0.02,63
UKM00003772,"HEATHROW, UK",20/06/1991,,66
UKM00003772,"HEATHROW, UK",21/06/1991,0.02,
UKM00003772,"HEATHROW, UK",22/06/1991,,68
UKM00003772,"HEATHROW, UK",23/06/1991,0.55,
UKM00003772,"HEATHROW, UK",24/06/1991,0.22,60
UKM00003772,"HEATHROW, UK",25/06/1991,0.1,
UKM00003772,"HEATHROW, UK",26/06/1991,0.43,65
UKM00003772,"HEATHROW, UK",27/06/1991,0.43,
UKM00003772,"HEATHROW, UK",28/06/1991,0.04,69
UKM00003772,"HEATHROW, UK",29/06/1991,0,
UKM00003772,"HEATHROW, UK",30/06/1991,0.08,70
UKM00003772,"HEATHROW, UK",01/07/1991,0.14,
UKM00003772,"HEATHROW, UK",02/07/1991,,68
UKM00003772,"HEATHROW, UK",03/07/1991,0.91,75
UKM00003772,"HEATHROW, UK",04/07/1991,0,81
UKM00003772,"HEATHROW, UK",05/07/1991,0,82
UKM00003772,"HEATHROW, UK",06/07/1991,,74
UKM00003772,"HEATHROW, UK",07/07/1991,0,
UKM00003772,"HEATHROW, UK",08/07/1991,0,
UKM00003772,"HEATHROW, UK",09/07/1991,0,
UKM00003772,"HEATHROW, UK",10/07/1991,0,78
UKM00003772,"HEATHROW, UK",11/07/1991,0,82
UKM00003772,"HEATHROW, UK",12/07/1991,0,
UKM00003772,"HEATHROW, UK",13/07/1991,0.01,
UKM00003772,"HEATHROW, UK",14/07/1991,,75
UKM00003772,"HEATHROW, UK",15/07/1991,0,
UKM00003772,"HEATHROW, UK",16/07/1991,0.02,71
UKM00003772,"HEATHROW, UK",17/07/1991,0,70
UKM00003772,"HEATHROW, UK",18/07/1991,0.63,
UKM00003772,"HEATHROW, UK",19/07/1991,0,
UKM00003772,"HEATHROW, UK",20/07/1991,0,75
