Year,Temperature_anomaly
1979,-0.06077574205948
1980,-0.374666001836818
1981,-0.877812191100162
1982,0.109163407890129
1983,1.21241991056776
1984,0.919631294539549
1985,0.157066944574492
1986,0.008952396082403
1987,0.859363477120745
1988,0.560272237330327
1989,-1.12991460098491
1990,-0.586995762268991
1991,-0.478550934421552
1992,1.24492581385161
1993,0.010818561953855
1994,-0.985639733288675
1995,0.666500192511638
1996,-0.85501123747661
1997,-0.678531040176829
1998,0.170884031901668
1999,0.720809865787188
2000,-1.04842488781654
2001,-0.148200462459545
2002,-0.31264700408903
2003,0.533727173663429
2004,-0.288748260549905
2005,0.083479930420197
2006,-0.661116171856978
2007,0.423493568117863
2008,-0.266731461791061
2009,-0.305038154959671
2010,0.187449207224326
2011,-0.11066028717574
2012,0.343361041441341
2013,0.360149854996063
2014,0.105847172378333
2015,0.061734103660392
2016,0.73019703283634
2017,-0.328138856436638
2018,0.02735557189936
