,Cape Town,Oxford,Hyderabad
1940,16.26701111796359,9.338084327844797,24.48313342307131
1941,16.256892368755018,9.200499543830347,25.23101470785673
1942,16.158725398821616,8.767507693370021,24.522249184937152
1943,15.94759090041083,9.621409305683585,23.991392416758515
1944,15.839758259591633,9.279335171992273,25.556778021928267
1945,16.0345819383827,10.145922977343332,25.804309812268173
1946,16.040774008793903,9.443198498727384,25.581848355788168
1947,15.7334358798484,9.867128782732323,25.683790978411423
1948,16.212943771446305,9.966503961526541,25.509053771929814
1949,16.514995986626218,10.36264544173497,24.238622154883217
1950,16.385113534098934,9.371763149837307,23.919050911222996
1951,15.952725788068904,9.165310460761873,23.969493631158002
1952,16.119760663063403,9.014284353172002,24.58492501958699
1953,16.112209357683867,9.503004837333037,24.248740904091733
1954,15.529248582386742,8.971694990831566,25.830588354988834
1955,15.445882170997095,9.080735840511522,25.408168332059745
1956,15.750803882221192,8.561055004294587,25.15066881861884
1957,15.863318332375684,9.928747434628974,26.026620242640547
1958,16.089253389330224,9.364966974995866,25.655247044076873
1959,15.739778976367063,10.07886738557346,25.70961644280925
1960,15.857881392502406,9.4303612795822,25.71309004328384
1961,15.926447245348186,10.018456942537512,25.018067896154946
1962,16.11236038379144,8.16748096791514,24.721603646955884
1963,16.41139207681954,7.851836403052232,25.26710994757076
1964,16.19089395973822,9.13948499636399,25.740123716542428
1965,15.998637724776245,8.647592963943623,25.212287470515605
1966,16.09604956417178,9.182980515349925,25.11895333602496
1967,15.903793329209805,9.685444375301643,25.956242076503656
1968,15.79928326275757,9.340802797781464,25.701763085214566
1969,15.909532321298173,9.396380405374543,25.991582185679647
1970,15.880837360856106,9.581991491602537,25.565839588383653
1971,15.867849115603406,9.64814092672691,25.740576794865262
1972,16.516053169379347,9.223757564399136,26.691739220466616
1973,16.383905325238175,9.527017988439809,26.284270782189026
1974,16.247830802299575,9.519013604737552,25.464803122405954
1975,16.12987941227192,9.813514514537985,25.158975254536358
1976,16.122479133000013,10.02842466563834,25.816693953090578
1977,16.571026672542132,9.433381801734072,26.062564456247003
1978,16.440691141692014,9.322226586547856,25.671708889804165
1979,16.416677990585242,8.77188745049017,26.57590219594516
1980,16.523755500866514,9.254566890347576,26.535880277433762
1981,16.159178477144337,9.142807570731009,25.624890796451325
1982,16.173676983473058,9.902770944123574,26.042780036152692
1983,16.27380729280509,10.048662164055486,26.07963040640459
1984,16.551091226340247,9.762769742387775,26.19758179643236
1985,16.767813690731828,8.840906381658783,26.164809131085292
1986,16.881989428069858,8.69033335239152,26.67180377426473
1987,16.476333303083265,9.10973285316885,26.302544941207373
1988,16.23801410530632,9.720331406154912,26.01212173631194
1989,16.242393862426354,10.570608391886253,25.70644489454986
1990,16.172770826827502,10.657750455965697,25.217724410388826
1991,16.38315019470025,9.289453921200845,25.865475385842046
1992,16.38858713457347,9.817290167227668,25.901570625556076
1993,16.744102591840146,9.545443173565786,25.873026691221526
1994,16.521943187575403,10.353734901387156,25.51192326797394
1995,16.014948544395963,10.48361735391444,25.89628471179043
1996,15.797017871143737,9.211373423576845,26.021032276659753
1997,16.078832587906447,10.568947104702772,25.992639368432776
1998,16.282415780937754,10.360833128443858,26.241077315418238
1999,16.601080867952476,10.689314912452005,25.52022970389146
2000,16.385264560206508,10.431060268473232,25.840707104197293
2001,16.409277711313223,10.11647288636334,26.24122834152581
2002,16.316849733468246,10.722842708336941,26.197883848647564
2003,16.5107672556137,10.64083553191557,26.371261820160782
2004,16.71268916146147,10.615010067517744,25.76761046812379
2005,16.537045798334418,10.554901676696943,25.78663975768012
2006,16.257949551508148,11.024290819086445,25.621115143761585
2007,16.47150046764034,10.625128816726203,25.971797765585336
2008,16.560605871118355,10.140183985254964,25.83406195546337
2009,16.723260988992763,10.22944041484061,26.74384322758516
2010,16.5086528901075,9.175278183862872,26.583302475217067
2011,16.48252537349441,10.986383266081361,25.936457656409345
2012,16.58824364880735,9.84628717988494,26.320970126333293
2013,16.58461902222524,9.782403136374398,26.1214646382071
2014,16.912949780125757,11.173806665600523,26.05607033362054
2015,16.741837200226257,10.690523121312708,26.69204127268182
2016,16.9529716986371,10.530284421159763,26.709258248947037
2017,16.693357819689993,10.772530297734022,26.359783835983933
2018,16.80375790433817,10.939867224943612,26.191389726021157
2019,16.736400260353037,10.638570140301795,26.707445935655983
2020,16.488415391690467,11.049965257376755,26.290009774277394
2021,16.409730789636,10.437252338884377,26.08265092855646
2022,16.56649588931441,11.416203568282356,26.004570430932404
